"SCEN_NO","SCEN_NAME","NNO","STEP_TYPE","STEP_NAME","VAR_NAME","LSCHEMA_NAME","VAR_LONG_VALUE","MOD_CODE","TABLE_NAME","RES_NAME","F_CONTEXT_CODE","GLOBAL_ID","GEN_INFO","TASK_TYPE","TASK_TYPE_1","TASK_NAME1","TASK_NAME2","TASK_NAME3","EXE_CHANNEL","DEF_CONTEXT_CODE","COL_LSCHEMA_NAME","COL_TXT","DEF_TXT"
587,"CAPC_LOAD_XACTLY_DATA",0,"VD","Declare CAPC_PROCESS_ID","HYPERION_OPTIMIZATION.CAPC_PROCESS_ID","","","","","","","2e9181d9-1137-4154-b6a8-329168456132","","V","V","Variable","CAPC_PROCESS_ID","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",1,"VD","Declare LOG_FOLDER","HYPERION_OPTIMIZATION.LOG_FOLDER","","","","","","","30501210-64e2-4e45-9c29-0efe4165208d","","V","V","Variable","LOG_FOLDER","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",2,"VD","Declare TIMESTAMP_SEC","HYPERION_OPTIMIZATION.TIMESTAMP_SEC","","","","","","","927fd063-8a4c-4781-8aee-fb7a26840ffa","","V","V","Variable","TIMESTAMP_SEC","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",3,"VD","Declare EBS_PERIOD","HYPERION_OPTIMIZATION.EBS_PERIOD","","AUG-17","","","","","24995488-25b4-4348-a4fc-41debe853ee6","","V","V","Variable","EBS_PERIOD","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",4,"VD","Declare CAPC_IS_FINAL","HYPERION_OPTIMIZATION.CAPC_IS_FINAL","","","","","","","02315386-2f2d-4042-a0da-d8ae711a390b","","V","V","Variable","CAPC_IS_FINAL","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",5,"VD","Declare CAPC_IS_PPP","HYPERION_OPTIMIZATION.CAPC_IS_PPP","","","","","","","fbfd0ad9-5374-4513-a967-52eb752b885b","","V","V","Variable","CAPC_IS_PPP","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",6,"VD","Declare SCENARIO","HYPERION_OPTIMIZATION.SCENARIO","","Xactly_Commissions","","","","","2fffde71-f510-44d2-a5fe-5654bca4ab6e","","V","V","Variable","SCENARIO","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",7,"VD","Declare VERSION","HYPERION_OPTIMIZATION.VERSION","","Final","","","","","1c5fb037-7572-4a68-ac07-28b7b1336290","","V","V","Variable","VERSION","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",8,"VD","Declare CAPC_ARCHIVE_SFTP_FILES","HYPERION_OPTIMIZATION.CAPC_ARCHIVE_SFTP_FILES","","Y","","","","","dc9266a7-31be-4a34-aab0-7c8a3bc2d912","","V","V","Variable","CAPC_ARCHIVE_SFTP_FILES","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",9,"VE","Is Final = Y?","HYPERION_OPTIMIZATION.CAPC_IS_FINAL","","Y","","","","","3749bb4f-a0d5-4d8d-8dad-16249b8b0132","","V","V","Variable","CAPC_IS_FINAL","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",10,"VE","Is PPP = Y? (i.e. Final - PPP)","HYPERION_OPTIMIZATION.CAPC_IS_PPP","","Y","","","","","28b040f4-2aa3-49b3-b98f-32dc6304e650","","V","V","Variable","CAPC_IS_PPP","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",11,"VS","Set CAPC_DATA_SOURCE_TYPE = FINAL+PPP","HYPERION_OPTIMIZATION.CAPC_DATA_SOURCE_TYPE","","Xactly_Final_ALF_PPP","","","","","8153e402-a993-4a86-8a3b-2af2f882c612","","V","V","Variable","CAPC_DATA_SOURCE_TYPE","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",12,"V","Refresh CAPC_COMMISSION_PERIOD","HYPERION_OPTIMIZATION.CAPC_COMMISSION_PERIOD","","","","","","","afca1972-1378-42ae-b34d-0106724d8469","","V","V","Variable","CAPC_COMMISSION_PERIOD","","","","","","SELECT TO_CHAR( Add_Months( '01-#HYPERION_OPTIMIZATION.EBS_PERIOD' , -1 ) , 'MON-yy' ) FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",13,"VS","Set INT_NAME = Xactly","HYPERION_OPTIMIZATION.INT_NAME","","Xactly","","","","","0f03e95b-90da-4a8c-a8dd-1a314771f4f6","","V","V","Variable","INT_NAME","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",14,"T","Determine ALF File Name","","","","","","","","8d7ff331-2a21-4d2a-b715-39c7ef44561c","","S","S","Procedure","Determine File Name","Write File Name to File","B","","","","import os
# directory where files are SFTP'd
strXactlySftpDir = ""<?=odiRef.getSchemaName(""FILE_CAPCOMM_SFTP"", ""W"") ?>""
# Pattern of file name to search for (file name needs to start with this/contain this text)
strFilePattern = ""#HYPERION_OPTIMIZATION.CAPC_DATA_SOURCE_TYPE"" + ""_#HYPERION_OPTIMIZATION.CAPC_COMMISSION_PERIOD""
# strFilePattern = ""Xactly_Final_ALF_Comm_JUL-17""
# file to which to write the file name to so that a variable can be initialized based on this value
strVariableFile = ""<?=odiRef.getSchemaName(""FILE_CAPCOMM_ROOT"", ""W"") ?>/audit/CAPC_DATA_SOURCE_ID.txt""
# strVariableFile = ""//sfm-hypn-wd008/d$/Hyperion/HyperionFiles/CapComm/audit/CAPC_DATA_SOURCE_ID.txt""

blnFoundFile = False
for objFile in os.listdir(strXactlySftpDir):
    if strFilePattern in objFile and objFile.endswith("".done"") and not blnFoundFile:
        objVariableFile = open( strVariableFile , ""w"" )
        # objVariableFile.write(os.path.join(strXactlySftpDir, objFile))
        strFileName = """" + objFile
        if 1 == 1:
            strFileName = strFileName[:(len(strFileName) - len("".done""))]
        objVariableFile.write( strFileName )
        objVariableFile.close()
        blnFoundFile = True

# if no file found: raise exception to terminate the process
if blnFoundFile == False:
    strMessage = ""There are no (more) files to process with file name containing '"" + strFilePattern + ""' and extension '.done'""
    strMessage += ""\n(Target folder: "" + strXactlySftpDir + "")""
    raise Exception(""\n\n"" + strMessage + ""\n\n"")"
587,"CAPC_LOAD_XACTLY_DATA",15,"V","Refresh CAPC_DATA_SOURCE_ID","HYPERION_OPTIMIZATION.CAPC_DATA_SOURCE_ID","","Xactly_Final_ALF_Comm_JUN_17_2017OCT16_145000.txt","","","","","c10819a3-21fa-4803-b78c-f6a2942d2e64","","V","V","Variable","CAPC_DATA_SOURCE_ID","","","","","","select	FILE_NAME	C1_FILE_NAME
from 	TABLE

/*$$SNPS_START_KEYSNP$CRDWG_TABLESNP$CRTABLE_NAME=FILE_NAMESNP$CRLOAD_FILE=<?=odiRef.getSchemaName(""FILE_CAPCOMM_ROOT"", ""w"") ?>\audit\CAPC_DATA_SOURCE_ID.txtSNP$CRFILE_FORMAT=DSNP$CRFILE_SEP_FIELD=0x0009SNP$CRFILE_SEP_LINE=0x000D0x000ASNP$CRFILE_FIRST_ROW=0SNP$CRFILE_ENC_FIELD=SNP$CRFILE_DEC_SEP=SNP$CRSNP$CRDWG_COLSNP$CRCOL_NAME=FILE_NAMESNP$CRTYPE_NAME=STRINGSNP$CRORDER=1SNP$CRLENGTH=100SNP$CRPRECISION=100SNP$CR$$SNPS_END_KEY*/"
